.\train\org\1.png,.\train\label\1.png
.\train\org\2.png,.\train\label\2.png
.\train\org\3.png,.\train\label\3.png
.\train\org\4.png,.\train\label\4.png
.\train\org\5.png,.\train\label\5.png
.\train\org\6.png,.\train\label\6.png
.\train\org\7.png,.\train\label\7.png
.\train\org\8.png,.\train\label\8.png
.\train\org\9.png,.\train\label\9.png
.\train\org\10.png,.\train\label\10.png
.\train\org\11.png,.\train\label\11.png
.\train\org\12.png,.\train\label\12.png
.\train\org\13.png,.\train\label\13.png
.\train\org\14.png,.\train\label\14.png
.\train\org\15.png,.\train\label\15.png
.\train\org\16.png,.\train\label\16.png
.\train\org\17.png,.\train\label\17.png
.\train\org\18.png,.\train\label\18.png
.\train\org\19.png,.\train\label\19.png
.\train\org\20.png,.\train\label\20.png
.\train\org\21.png,.\train\label\21.png
.\train\org\22.png,.\train\label\22.png
.\train\org\23.png,.\train\label\23.png
.\train\org\24.png,.\train\label\24.png
.\train\org\25.png,.\train\label\25.png
.\train\org\26.png,.\train\label\26.png
.\train\org\27.png,.\train\label\27.png
.\train\org\28.png,.\train\label\28.png
.\train\org\29.png,.\train\label\29.png
.\train\org\30.png,.\train\label\30.png
.\train\org\31.png,.\train\label\31.png
.\train\org\32.png,.\train\label\32.png
.\train\org\33.png,.\train\label\33.png
.\train\org\34.png,.\train\label\34.png
.\train\org\35.png,.\train\label\35.png
.\train\org\36.png,.\train\label\36.png
.\train\org\37.png,.\train\label\37.png
.\train\org\38.png,.\train\label\38.png
.\train\org\39.png,.\train\label\39.png
.\train\org\40.png,.\train\label\40.png
.\train\org\41.png,.\train\label\41.png
.\train\org\42.png,.\train\label\42.png
.\train\org\43.png,.\train\label\43.png
.\train\org\44.png,.\train\label\44.png
.\train\org\45.png,.\train\label\45.png
.\train\org\46.png,.\train\label\46.png
.\train\org\47.png,.\train\label\47.png
.\train\org\48.png,.\train\label\48.png
.\train\org\49.png,.\train\label\49.png
.\train\org\50.png,.\train\label\50.png
